ScientificName	AphiaID	Match type	LSID	ScientificName_1	AphiaID_accepted	ScientificName_accepted
Hipponix sp	138072	exact	urn:lsid:marinespecies.org:taxname:138072	Hipponix	138072	Hipponix
Holothuria (Selenkothuria) portovallartensis	241853	exact	urn:lsid:marinespecies.org:taxname:241853	Holothuria (Selenkothuria) portovallartensis	241853	Holothuria (Selenkothuria) portovallartensis
Holothuria sp.	123456	exact	urn:lsid:marinespecies.org:taxname:123456	Holothuria	123456	Holothuria
Hypnea cervicornis	220819	exact	urn:lsid:marinespecies.org:taxname:220819	Hypnea cervicornis	145635	Hypnea spinella
Hypnea sp.	144157	exact	urn:lsid:marinespecies.org:taxname:144157	Hypnea	144157	Hypnea
Hypnea valentiae	145636	exact	urn:lsid:marinespecies.org:taxname:145636	Hypnea valentiae	145636	Hypnea valentiae
Idotea balthica	119039	exact	urn:lsid:marinespecies.org:taxname:119039	Idotea balthica	119039	Idotea balthica
Iridaea cordata	325522	exact	urn:lsid:marinespecies.org:taxname:325522	Iridaea cordata	325522	Iridaea cordata
Iridaea tuberculosa	371712	exact	urn:lsid:marinespecies.org:taxname:371712	Iridaea tuberculosa	371712	Iridaea tuberculosa
Ischnochiton dispar	848042	exact	urn:lsid:marinespecies.org:taxname:848042	Ischnochiton dispar	848042	Ischnochiton dispar
Isognomon bicolor	420737	exact	urn:lsid:marinespecies.org:taxname:420737	Isognomon bicolor	420737	Isognomon bicolor
Isognomon janus	507054	exact	urn:lsid:marinespecies.org:taxname:507054	Isognomon janus	507054	Isognomon janus
ISOPODA	1131	exact	urn:lsid:marinespecies.org:taxname:1131	Isopoda	1131	Isopoda
Jania sp.	144012	exact	urn:lsid:marinespecies.org:taxname:144012	Jania	144012	Jania
Lacuna vincta	140170	exact	urn:lsid:marinespecies.org:taxname:140170	Lacuna vincta	140170	Lacuna vincta
Laurencia sp.	143914	exact	urn:lsid:marinespecies.org:taxname:143914	Laurencia	143914	Laurencia
Leathesia sp.	143973	exact	urn:lsid:marinespecies.org:taxname:143973	Leathesia	143973	Leathesia
Leiosolenus patagonicus	506057	exact	urn:lsid:marinespecies.org:taxname:506057	Leiosolenus patagonicus	506057	Leiosolenus patagonicus
Lessonia nigrescens	373654	exact	urn:lsid:marinespecies.org:taxname:373654	Lessonia nigrescens	373654	Lessonia nigrescens
Lessonia spicata	837696	exact	urn:lsid:marinespecies.org:taxname:837696	Lessonia spicata	837696	Lessonia spicata
Lithophyllum rugosum	547486	exact	urn:lsid:marinespecies.org:taxname:547486	Lithophyllum rugosum	547486	Lithophyllum rugosum
Lithophyllum sp.	144016	exact	urn:lsid:marinespecies.org:taxname:144016	Lithophyllum	144016	Lithophyllum
Lithothamniaceae	1305091	exact	urn:lsid:marinespecies.org:taxname:1305091	Lithothamniaceae	1305091	Lithothamniaceae
Lithothamnion sp.	144018	exact	urn:lsid:marinespecies.org:taxname:144018	Lithothamnion	144018	Lithothamnion
Lithothamnium sp.	205926	exact	urn:lsid:marinespecies.org:taxname:205926	Lithothamnium	144016	Lithophyllum
Littorina littorea	140262	exact	urn:lsid:marinespecies.org:taxname:140262	Littorina littorea	140262	Littorina littorea
Littorina obtusata	140263	exact	urn:lsid:marinespecies.org:taxname:140263	Littorina obtusata	140263	Littorina obtusata
Lobophora variegata	145381	exact	urn:lsid:marinespecies.org:taxname:145381	Lobophora variegata	145381	Lobophora variegata
Lottia	160336	exact	urn:lsid:marinespecies.org:taxname:160336	Lottia	160336	Lottia
Lottia mesoleuca	456599	exact	urn:lsid:marinespecies.org:taxname:456599	Lottia mesoleuca	456599	Lottia mesoleuca
Mastocarpus latissiumus	625994	phonetic	urn:lsid:marinespecies.org:taxname:625994	Mastocarpus latissimus	625994	Mastocarpus latissimus
Mastocarpus stellatus	145650	exact	urn:lsid:marinespecies.org:taxname:145650	Mastocarpus stellatus	145650	Mastocarpus stellatus
Mazzaella laminarioides	371711	exact	urn:lsid:marinespecies.org:taxname:371711	Mazzaella laminarioides	371711	Mazzaella laminarioides
Mithraculus denticulatus	442116	exact	urn:lsid:marinespecies.org:taxname:442116	Mithraculus denticulatus	442116	Mithraculus denticulatus
Mitra tristis	590684	exact	urn:lsid:marinespecies.org:taxname:590684	Mitra tristis	890223	Strigatella tristis
Mitrella	137804	exact	urn:lsid:marinespecies.org:taxname:137804	Mitrella	137804	Mitrella
Mitrella elegans	511500	exact	urn:lsid:marinespecies.org:taxname:511500	Mitrella elegans	511500	Mitrella elegans
Monanchora	169014	exact	urn:lsid:marinespecies.org:taxname:169014	Monanchora	169014	Monanchora
Monostroma hariotii	325529	exact	urn:lsid:marinespecies.org:taxname:325529	Monostroma hariotii	325529	Monostroma hariotii
Montemaria horridula	373662	exact	urn:lsid:marinespecies.org:taxname:373662	Montemaria horridula	373662	Montemaria horridula
Muricopsis zeteki	408754	exact	urn:lsid:marinespecies.org:taxname:408754	Muricopsis zeteki	408754	Muricopsis zeteki
Myriogloea sp.	146276	exact	urn:lsid:marinespecies.org:taxname:146276	Myriogloea	146276	Myriogloea
Myriogramme	143892	exact	urn:lsid:marinespecies.org:taxname:143892	Myriogramme	143892	Myriogramme
Mytilaster solisianus	506154	exact	urn:lsid:marinespecies.org:taxname:506154	Mytilaster solisianus	506154	Mytilaster solisianus
MYTILUS	138228	exact	urn:lsid:marinespecies.org:taxname:138228	Mytilus	138228	Mytilus
Mytilus chilensis	397041	exact	urn:lsid:marinespecies.org:taxname:397041	Mytilus chilensis	397041	Mytilus chilensis
Mytilus edulis	140480	exact	urn:lsid:marinespecies.org:taxname:140480	Mytilus edulis	140480	Mytilus edulis
Mytilus edulis platensis	718572	exact	urn:lsid:marinespecies.org:taxname:718572	Mytilus edulis platensis	506158	Mytilus platensis
Nacella concinna	197296	exact	urn:lsid:marinespecies.org:taxname:197296	Nacella concinna	197296	Nacella concinna
Nacella deaurata	456656	exact	urn:lsid:marinespecies.org:taxname:456656	Nacella deaurata	456656	Nacella deaurata
Nacella magellanica	456657	exact	urn:lsid:marinespecies.org:taxname:456657	Nacella magellanica	456657	Nacella magellanica
NEMALION	144212	exact	urn:lsid:marinespecies.org:taxname:144212	Nemalion	144212	Nemalion
Neotiara lens	1060338	exact	urn:lsid:marinespecies.org:taxname:1060338	Neotiara lens	1060338	Neotiara lens
Nerita funiculata	575247	exact	urn:lsid:marinespecies.org:taxname:575247	Nerita funiculata	575247	Nerita funiculata
Nerita scabricosta	575248	exact	urn:lsid:marinespecies.org:taxname:575248	Nerita scabricosta	575248	Nerita scabricosta
Nothogenia fastigiata	373489	exact	urn:lsid:marinespecies.org:taxname:373489	Nothogenia fastigiata	373489	Nothogenia fastigiata
Nothogenia sp	206661	exact	urn:lsid:marinespecies.org:taxname:206661	Nothogenia	206661	Nothogenia
Nothogenia sp1	206661	exact	urn:lsid:marinespecies.org:taxname:206661	Nothogenia	206661	Nothogenia
Nothogenia sp2	206661	exact	urn:lsid:marinespecies.org:taxname:206661	Nothogenia	206661	Nothogenia
Notobalanus flosculus	733530	exact	urn:lsid:marinespecies.org:taxname:733530	Notobalanus flosculus	733530	Notobalanus flosculus
Notochthamalus scabrosus	733206	exact	urn:lsid:marinespecies.org:taxname:733206	Notochthamalus scabrosus	733206	Notochthamalus scabrosus
Nucella lapillus	140403	exact	urn:lsid:marinespecies.org:taxname:140403	Nucella lapillus	140403	Nucella lapillus
Ochtodes secundiramea	372964	exact	urn:lsid:marinespecies.org:taxname:372964	Ochtodes secundiramea	372964	Ochtodes secundiramea
Omalacantha bicornuta	878753	exact	urn:lsid:marinespecies.org:taxname:878753	Omalacantha bicornuta	878753	Omalacantha bicornuta
Ophiactis savignyi	125122	exact	urn:lsid:marinespecies.org:taxname:125122	Ophiactis savignyi	125122	Ophiactis savignyi
Ophiocoma aethiops	243571	exact	urn:lsid:marinespecies.org:taxname:243571	Ophiocoma aethiops	243571	Ophiocoma aethiops
Ophiocomella alexandri	1306697	exact	urn:lsid:marinespecies.org:taxname:1306697	Ophiocomella alexandri	1306697	Ophiocomella alexandri
Ophionereis annulata	243877	exact	urn:lsid:marinespecies.org:taxname:243877	Ophionereis annulata	243877	Ophionereis annulata
Oulactis concinnata	290537	exact	urn:lsid:marinespecies.org:taxname:290537	Oulactis concinnata	290537	Oulactis concinnata
Ozius verreauxii	440522	exact	urn:lsid:marinespecies.org:taxname:440522	Ozius verreauxii	440522	Ozius verreauxii
Pachycheles grossimanus	425870	exact	urn:lsid:marinespecies.org:taxname:425870	Pachycheles grossimanus	425870	Pachycheles grossimanus
Pachygrapsus transversus	107457	exact	urn:lsid:marinespecies.org:taxname:107457	Pachygrapsus transversus	107457	Pachygrapsus transversus
Padina durvillaei	495133	match_deleted	urn:lsid:marinespecies.org:taxname:495133	Padina durvillei	495133	Padina durvillei
Padina gymnospora	145384	exact	urn:lsid:marinespecies.org:taxname:145384	Padina gymnospora	145384	Padina gymnospora
Padina mexicana	375601	exact	urn:lsid:marinespecies.org:taxname:375601	Padina mexicana	375601	Padina mexicana
Paguroidea	106687	exact	urn:lsid:marinespecies.org:taxname:106687	Paguroidea	106687	Paguroidea
Palaemonidae	106788	exact	urn:lsid:marinespecies.org:taxname:106788	Palaemonidae	106788	Palaemonidae
Palythoa tuberculosa	220520	exact	urn:lsid:marinespecies.org:taxname:220520	Palythoa tuberculosa	220520	Palythoa tuberculosa
Parabunodactis imperfecta	290601	exact	urn:lsid:marinespecies.org:taxname:290601	Parabunodactis imperfecta	290601	Parabunodactis imperfecta
Parvanachis pygmaea	747168	exact	urn:lsid:marinespecies.org:taxname:747168	Parvanachis pygmaea	747168	Parvanachis pygmaea
Perumytilus purpuratus	600490	exact	urn:lsid:marinespecies.org:taxname:600490	Perumytilus purpuratus	600490	Perumytilus purpuratus
PETALONIA	144257	exact	urn:lsid:marinespecies.org:taxname:144257	Petalonia	144257	Petalonia
Petalonia fascia	145863	exact	urn:lsid:marinespecies.org:taxname:145863	Petalonia fascia	145863	Petalonia fascia
Phaeophyceae	830	exact	urn:lsid:marinespecies.org:taxname:830	Phaeophyceae	830	Phaeophyceae
Phaeophyta sp1	829	exact	urn:lsid:marinespecies.org:taxname:829	Phaeophyta	830	Phaeophyceae
Phaeurus antarcticus	325545	exact	urn:lsid:marinespecies.org:taxname:325545	Phaeurus antarcticus	325545	Phaeurus antarcticus
Phascolosoma (Phascolosoma) cf. nigrescens	220538	exact	urn:lsid:marinespecies.org:taxname:220538	Phascolosoma (Phascolosoma) nigrescens	220538	Phascolosoma (Phascolosoma) nigrescens
Phragmatopoma moerchi	337791	exact	urn:lsid:marinespecies.org:taxname:337791	Phragmatopoma moerchi	330551	Phragmatopoma virgini
Phragmatopoma sp.	325241	exact	urn:lsid:marinespecies.org:taxname:325241	Phragmatopoma	325241	Phragmatopoma
Phymactis clematis	290758	exact	urn:lsid:marinespecies.org:taxname:290758	Phymactis clematis	290758	Phymactis clematis
Phymactis papillosa	290760	exact	urn:lsid:marinespecies.org:taxname:290760	Phymactis papillosa	290760	Phymactis papillosa
Physalia sp.	135382	exact	urn:lsid:marinespecies.org:taxname:135382	Physalia	135382	Physalia
Planaria	147038	exact	urn:lsid:marinespecies.org:taxname:147038	Planaria	147038	Planaria
Planaxis planicostatus	575282	exact	urn:lsid:marinespecies.org:taxname:575282	Planaxis planicostatus	575282	Planaxis planicostatus
Plaxiphora aurata aurata	817224	exact	urn:lsid:marinespecies.org:taxname:817224	Plaxiphora aurata aurata	386380	Plaxiphora (Plaxiphora) aurata
Plicopurpura columellaris	396989	exact	urn:lsid:marinespecies.org:taxname:396989	Plicopurpura columellaris	396989	Plicopurpura columellaris
Plocamium brasiliense	372977	exact	urn:lsid:marinespecies.org:taxname:372977	Plocamium brasiliense	372977	Plocamium brasiliense
Polychaeta	883	exact	urn:lsid:marinespecies.org:taxname:883	Polychaeta	883	Polychaeta
Polysiphonia	143853	exact	urn:lsid:marinespecies.org:taxname:143853	Polysiphonia	143853	Polysiphonia
POLYSIPHONIA	143853	exact	urn:lsid:marinespecies.org:taxname:143853	Polysiphonia	143853	Polysiphonia
Polysiphonia mollis	214252	exact	urn:lsid:marinespecies.org:taxname:214252	Polysiphonia mollis	214252	Polysiphonia mollis
Polysiphonia sp 1	143853	exact	urn:lsid:marinespecies.org:taxname:143853	Polysiphonia	143853	Polysiphonia
Polysiphonia sp.	143853	exact	urn:lsid:marinespecies.org:taxname:143853	Polysiphonia	143853	Polysiphonia
Porifera	558	exact	urn:lsid:marinespecies.org:taxname:558	Porifera	558	Porifera
Porifera sp1	558	exact	urn:lsid:marinespecies.org:taxname:558	Porifera	558	Porifera
Porolithon	370087	exact	urn:lsid:marinespecies.org:taxname:370087	Porolithon	370087	Porolithon
Porolithon onkodes	495983	exact	urn:lsid:marinespecies.org:taxname:495983	Porolithon onkodes	495983	Porolithon onkodes
Porphyra	143808	exact	urn:lsid:marinespecies.org:taxname:143808	Porphyra	143808	Porphyra
PORPHYRA	143808	exact	urn:lsid:marinespecies.org:taxname:143808	Porphyra	143808	Porphyra
Prosthiostomidae spp.	142069	exact	urn:lsid:marinespecies.org:taxname:142069	Prosthiostomidae	142069	Prosthiostomidae
Protomonostroma undulatum	145946	exact	urn:lsid:marinespecies.org:taxname:145946	Protomonostroma undulatum	145946	Protomonostroma undulatum
Pseudechinus magellanicus	160822	exact	urn:lsid:marinespecies.org:taxname:160822	Pseudechinus magellanicus	160822	Pseudechinus magellanicus
Pyropia	603075	exact	urn:lsid:marinespecies.org:taxname:603075	Pyropia	603075	Pyropia
Pyropia columbina	626037	exact	urn:lsid:marinespecies.org:taxname:626037	Pyropia columbina	626037	Pyropia columbina
Pyropia endiviifolia	626042	exact	urn:lsid:marinespecies.org:taxname:626042	Pyropia endiviifolia	626042	Pyropia endiviifolia
Pyropia orbicularis	841065	exact	urn:lsid:marinespecies.org:taxname:841065	Pyropia orbicularis	841065	Pyropia orbicularis
Pyropia sp	603075	exact	urn:lsid:marinespecies.org:taxname:603075	Pyropia	603075	Pyropia
Pyura chilensis	251256	exact	urn:lsid:marinespecies.org:taxname:251256	Pyura chilensis	251256	Pyura chilensis
Ralfsia	143985	exact	urn:lsid:marinespecies.org:taxname:143985	Ralfsia	143985	Ralfsia
RALFSIA	603705	exact	urn:lsid:marinespecies.org:taxname:603705	Ralfsia	603705	Ralfsia
Ralfsia sp.	143985	exact	urn:lsid:marinespecies.org:taxname:143985	Ralfsia	143985	Ralfsia
Rhizoclonium ambigum	214388	phonetic	urn:lsid:marinespecies.org:taxname:214388	Rhizoclonium ambiguum	214388	Rhizoclonium ambiguum
Rhodophyta sp1	852	exact	urn:lsid:marinespecies.org:taxname:852	Rhodophyta	852	Rhodophyta
Sabellidae sp.	985	exact	urn:lsid:marinespecies.org:taxname:985	Sabellidae	985	Sabellidae
Sarcothalia crispata	371718	exact	urn:lsid:marinespecies.org:taxname:371718	Sarcothalia crispata	371718	Sarcothalia crispata
Sargassum	144132	exact	urn:lsid:marinespecies.org:taxname:144132	Sargassum	144132	Sargassum
Sargassum cf pacificum	495052	exact	urn:lsid:marinespecies.org:taxname:495052	Sargassum pacificum	495052	Sargassum pacificum
Sargassum sp.	144132	exact	urn:lsid:marinespecies.org:taxname:144132	Sargassum	144132	Sargassum
SCHIZYMENIA	144176	exact	urn:lsid:marinespecies.org:taxname:144176	Schizymenia	144176	Schizymenia
Schottera nicaeensis	145666	exact	urn:lsid:marinespecies.org:taxname:145666	Schottera nicaeensis	145666	Schottera nicaeensis
Scurria araucana	511348	exact	urn:lsid:marinespecies.org:taxname:511348	Scurria araucana	511348	Scurria araucana
Scurria ceciliana	456696	exact	urn:lsid:marinespecies.org:taxname:456696	Scurria ceciliana	456696	Scurria ceciliana
Scurria parasitica	456645	exact	urn:lsid:marinespecies.org:taxname:456645	Scurria parasitica	456645	Scurria parasitica
Scurria zebrina	456651	exact	urn:lsid:marinespecies.org:taxname:456651	Scurria zebrina	456651	Scurria zebrina
Scytosiphon lomentaria	145869	exact	urn:lsid:marinespecies.org:taxname:145869	Scytosiphon lomentaria	145869	Scytosiphon lomentaria
Scytosiphon sp.	144259	exact	urn:lsid:marinespecies.org:taxname:144259	Scytosiphon	144259	Scytosiphon
Semibalanus balanoides	106210	exact	urn:lsid:marinespecies.org:taxname:106210	Semibalanus balanoides	106210	Semibalanus balanoides
Semimytilus algosus	224601	exact	urn:lsid:marinespecies.org:taxname:224601	Semimytilus algosus	224601	Semimytilus algosus
SIPHONARIA	138489	exact	urn:lsid:marinespecies.org:taxname:138489	Siphonaria	138489	Siphonaria
Siphonaria gigas	527759	exact	urn:lsid:marinespecies.org:taxname:527759	Siphonaria gigas	527759	Siphonaria gigas
Siphonaria lessoni	533427	phonetic	urn:lsid:marinespecies.org:taxname:533427	Siphonaria lessonii	533427	Siphonaria lessonii
Siphonaria lessonii	533427	exact	urn:lsid:marinespecies.org:taxname:533427	Siphonaria lessonii	533427	Siphonaria lessonii
Siphonaria maura	575365	exact	urn:lsid:marinespecies.org:taxname:575365	Siphonaria maura	575365	Siphonaria maura
Siphonaria palmata	575366	exact	urn:lsid:marinespecies.org:taxname:575366	Siphonaria palmata	575366	Siphonaria palmata
Stichaster striatus	378839	exact	urn:lsid:marinespecies.org:taxname:378839	Stichaster striatus	378839	Stichaster striatus
Struvea anastomosans	146245	exact	urn:lsid:marinespecies.org:taxname:146245	Struvea anastomosans	146242	Phyllodictyon anastomosans
SYLIS	129680	phonetic	urn:lsid:marinespecies.org:taxname:129680	Syllis	129680	Syllis
Taliepus dentatus	441501	exact	urn:lsid:marinespecies.org:taxname:441501	Taliepus dentatus	441501	Taliepus dentatus
Tegula atra	533469	exact	urn:lsid:marinespecies.org:taxname:533469	Tegula atra	533469	Tegula atra
Tegula panamensis	575634	exact	urn:lsid:marinespecies.org:taxname:575634	Tegula panamensis	575634	Tegula panamensis
Tegula patagonica	533470	exact	urn:lsid:marinespecies.org:taxname:533470	Tegula patagonica	533470	Tegula patagonica
Testudinalia testudinalis	234208	exact	urn:lsid:marinespecies.org:taxname:234208	Testudinalia testudinalis	234208	Testudinalia testudinalis
Tetraclita milleporosa	882228	exact	urn:lsid:marinespecies.org:taxname:882228	Tetraclita milleporosa	733561	Tetraclita squamosa milleporosa
Tetraclita squamosa panamensis	733562	exact	urn:lsid:marinespecies.org:taxname:733562	Tetraclita squamosa panamensis	733562	Tetraclita squamosa panamensis
Tetraclita stalactifera	421131	exact	urn:lsid:marinespecies.org:taxname:421131	Tetraclita stalactifera	421131	Tetraclita stalactifera
Tetrapygus niger	513606	exact	urn:lsid:marinespecies.org:taxname:513606	Tetrapygus niger	513606	Tetrapygus niger
Tonicia chilensis	386329	exact	urn:lsid:marinespecies.org:taxname:386329	Tonicia chilensis	386329	Tonicia chilensis
Tonicia lebruni	386333	exact	urn:lsid:marinespecies.org:taxname:386333	Tonicia lebruni	386333	Tonicia lebruni
Trematocarpus antarcticus	377122	exact	urn:lsid:marinespecies.org:taxname:377122	Trematocarpus antarcticus	377122	Trematocarpus antarcticus
Trematocarpus dichotomus	373661	exact	urn:lsid:marinespecies.org:taxname:373661	Trematocarpus dichotomus	373661	Trematocarpus dichotomus
Trophon geversianus	197512	exact	urn:lsid:marinespecies.org:taxname:197512	Trophon geversianus	197512	Trophon geversianus
Uca sp. 1	106971	exact	urn:lsid:marinespecies.org:taxname:106971	Uca	106971	Uca
Uca sp. 2	106971	exact	urn:lsid:marinespecies.org:taxname:106971	Uca	106971	Uca
Ulothrix	144287	exact	urn:lsid:marinespecies.org:taxname:144287	Ulothrix	144287	Ulothrix
Ulva	144296	exact	urn:lsid:marinespecies.org:taxname:144296	Ulva	144296	Ulva
ULVA	144296	exact	urn:lsid:marinespecies.org:taxname:144296	Ulva	144296	Ulva
Ulva intestinalis	234471	exact	urn:lsid:marinespecies.org:taxname:234471	Ulva intestinalis	234471	Ulva intestinalis
Ulva lactuca	145984	exact	urn:lsid:marinespecies.org:taxname:145984	Ulva lactuca	145984	Ulva lactuca
Ulva prolifera	234476	exact	urn:lsid:marinespecies.org:taxname:234476	Ulva prolifera	234476	Ulva prolifera
Ulva sp	144296	exact	urn:lsid:marinespecies.org:taxname:144296	Ulva	144296	Ulva
Ulva sp 1	144296	exact	urn:lsid:marinespecies.org:taxname:144296	Ulva	144296	Ulva
Ulva sp.	144296	exact	urn:lsid:marinespecies.org:taxname:144296	Ulva	144296	Ulva
Undaria pinnatifida	145721	exact	urn:lsid:marinespecies.org:taxname:145721	Undaria pinnatifida	145721	Undaria pinnatifida
Urochordata	1822	exact	urn:lsid:marinespecies.org:taxname:1822	Urochordata	146420	Tunicata
Urospora penicilliformis	144420	exact	urn:lsid:marinespecies.org:taxname:144420	Urospora penicilliformis	144420	Urospora penicilliformis
Valonia sp.	144267	exact	urn:lsid:marinespecies.org:taxname:144267	Valonia	144267	Valonia
Vasula melones	714223	exact	urn:lsid:marinespecies.org:taxname:714223	Vasula melones	714223	Vasula melones
Vermetidae	23139	exact	urn:lsid:marinespecies.org:taxname:23139	Vermetidae	23139	Vermetidae
Verrucaria sp.	147701	exact	urn:lsid:marinespecies.org:taxname:147701	Verrucaria	147701	Verrucaria
Vertebrata lanosa	475211	exact	urn:lsid:marinespecies.org:taxname:475211	Vertebrata lanosa	475211	Vertebrata lanosa
Zoanthus cf pulchellus	288840	exact	urn:lsid:marinespecies.org:taxname:288840	Zoanthus pulchellus	288840	Zoanthus pulchellus
Zoanthus cf. sansibaricus	220521	exact	urn:lsid:marinespecies.org:taxname:220521	Zoanthus sansibaricus	220521	Zoanthus sansibaricus
Zoanthus pulchellus	288840	exact	urn:lsid:marinespecies.org:taxname:288840	Zoanthus pulchellus	288840	Zoanthus pulchellus
Zoanthus sociatus	288843	exact	urn:lsid:marinespecies.org:taxname:288843	Zoanthus sociatus	288843	Zoanthus sociatus
